,카테고리,상품명,상품가격
0,전복,바다마을 특대활전복 9-11미 1kg (아이스박스 포장),"26,900원"
1,복숭아,(10%중복)경북 제철 달콤한 복숭아 딱딱이백도 딱딱이 백도 4kg / 중대과 / 18-20과,"16,250원"
2,국내기저귀,울트라씬듀얼핏 썸머팬티 특대형 6팩,"61,400원"
3,골프티셔츠,(20%쿠폰) 최종가 6960원+무료배송 팜스프링스 티셔츠/팬츠 24SS 시즌오프,"8,700원"
4,호두,(10% 추가할인) 호두 1/4태 1kg+1kg,"15,920원"
5,책상의자,브라보 BR-200C 외 MEGA Q7+ 인기의자 특가전,"344,000원"
6,오리훈제,다향오리 훈제슬라이스 200gx10팩,"42,500원"
7,남성스포츠티셔츠,휠라본사 0813 단하루 10%카드추가할인+20%쿠폰+최대83%off / 인기 슈즈 / 여름 의류/ACC 8월 최대 특가전,"22,630원"
8,바디스크럽,무궁화 샤워때비누 900ml x 2개(사해+화산) + 설거지비누 증정,"13,500원"
9,크림/젤/스틱/밤,(300ml증정)리코셀 저자극 대용량 알로에 98% 수딩젤 1000ml 2개/산뜻한 알로에베라 겔 수분크림 진정,"10,900원"
10,칫솔,부광 얇은헤드 칫솔 초극세모 12입 + 12입,"10,500원"
11,키위/참다래,제스프리 ㅁ 골드키위 자이언트 사이즈 총 3.2kg (21입 개당 150g 내외),"24,550원"
12,드로즈,(20%쿠폰+카드사10%할인+무료배송)리바이스 스테디셀러 드로즈 시리즈,"6,120원"
13,기타건어물,20%할인+10%쿠폰) 더주 껍질을 벗겨 쫄깃한 명태알포 200g + 200g,"12,720원"
14,밀폐용기,쉬젤 아티 내열용기 10종세트 (직사각 400ml 3개+640ml 2개+정사각 320ml 3개+520ml 2개),"22,900원"
15,메가박스,(유니버스클럽 전용 쿠폰적용가 6천원) 메가박스 일반예매권 2D-주중/주말,"15,000원"
16,전집/세트,베베x톡톡 전집 역대급 최저가(단7일만),"615,000원"
17,바디케어,일리윤 세라마이드 아토 로션 528ml 2개+50ml 1개 +12일~13일 CU3천원 증정,"33,010원"
18,니트/모직원피스,((70%할인/재고마감)) 브이빈 1900원~ 단하루 역마진 재고SALE 셔츠/블라우스/반팔티/나시/반바지/스커트,"6,900원"
19,우유,건국 멸균우유 200ml 48팩,"25,500원"
20,표고버섯,(10%중복)표고버섯 국내산 파지 2kg (무선별 실속형) 무농약 GAP 산지직송 무료배송,"11,180원"
21,총각김치,(10%중복)총각김치 2kg /총각무/알타리김치,"14,910원"
22,패딩/다운 점퍼,(15% 쿠폰) 티뷰/샐리 SUMMER LUCKY SALE~ 더위 시원하게 날려줄 슈퍼특가 원피스/티셔츠/1+1 외,"16,400원"
23,생리대,생리대 (최대 77%+전고객 사은품)NEW러브 플러스 중형/대형/라이너/오버나이트 외 순한코튼 슬림핏 오가닉,"17,900원"
24,후추/겨자/향신료,(1+1) 맛선생 꽃게 참치액 950g 구매 시 1개 더 증정 (총 2개),"10,750원"
25,세탁세제,(레드루트)(광주신세계)레드루트 세탁세제 1L 3개 (세제1개 증정),"44,480원"
26,국내기저귀,울트라씬듀얼핏 썸머팬티 점보형 6팩,"61,400원"
27,초등참고서,(특가) EBS 초등 어맛 골라담기 : 어휘 한국사 뉴스 과학탐구 속담 관용구 사자성어 맞춤법 신화,"8,400원"
28,초등참고서,매쓰러닝 영재사고력수학 필즈 단계별 세트 선택구매,"28,000원"
29,단행본기타,DIY 아트 페인팅 18종 택1 - 전통 자연 캐릭터 외 25x25 / DIY 색칠 캐릭터 그리기 / 아크릴 물감 색칠,"3,000원"
30,국내기저귀,울트라씬듀얼핏 썸머팬티 대형 6팩,"61,400원"
31,기타과즙음료,스페인직수입 팔라스 레몬즙 레몬원액 레몬주스 1000ml x 2개 세트,"15,900원"
32,,(행사상품)믿고먹는 농협안심쌀 20KG 포,"43,610원"
33,여성스포츠티셔츠,휠라 브랜드위크 ~최대 84% OFF + 쿠폰혜택 / 인기 여름의류/신발/ACC 특가전,"24,600원"
34,빗자루/쓰레받기,(단하루 10%쿠폰_8010원)롱 빗자루 청소도구 세트(빗자루+쓰레받기),"8,900원"
35,기타구강케어,쿠폰혜택가 9930원/뷰.카 고불소 치약 미백 불소 구취제거 어린이 키즈 치약 모음,"14,600원"
36,두유,삼육두유 블랙푸드 80팩(검은콩과칼슘60팩+흑임자두유20팩),"38,900원"
37,기타구강케어,쿠폰혜택가 9930원/뷰.카 고불소 치약 미백 불소 구취제거 어린이 키즈 치약 모음,"14,600원"
38,일회용우비,(15%+10%+카드사) 야외 활동필수 UV썬바이저버킷햇/통기성 페이스커버 /페이크삭스/벨트/가방 특가찬스,"6,600원"
39,유아퓨레,생과일 100% 아넬라 과일퓨레 HOP 모음전 _짜먹는아넬라HOP 20팩+4팩_생필품원데이특가,"60,110원"
40,남성스포츠티셔츠,7%+카드추가10%할인 나이키 파타고니아 아디다스 인기브랜드 커플 반팔티 PK 카라티 반바지 맨투맨 51종,"18,200원"
41,유아로션/크림,(20%할인+5%추가할인)아토팜 수딩 젤 로션 160mlx3+미니x3/탑투토워시/판테놀/크림/로션/선크림/파우더,"41,800원"
42,여아티셔츠,15%+5% 버블트리 인기 상하세트 인기 래쉬가드및 인기 상품 특가전,"17,900원"
43,,기획 버라이어티 복숭아박스 4KG (황도+백도+아삭),
44,블라우스/셔츠,((10%쿠폰)) 로즈맘 여름 시즌오프 4000원대부터~ 초특가 한정 SALE/5060중년여성의류/엄마옷/마담,"12,900원"
45,마스크,KF94 마스크 100매 TS 레모나 위가드 스카이슘 새부리형 소형 중형 대형 마스크 모음전,"7,900원"
46,국내기저귀,나비잠 시그니처 썸머팬티 특대형 26매x6팩,"64,000원"
47,어린이/청소년,길벗스쿨 New 그래서 이런말이 생겼대요 세트,"60,650원"
48,유아동상하복세트,키즈꼬모 15%+5% 클리어런스 여름 시즌오프 + 가을신상 특가전,"5,600원"
49,탄산/기능성음료,몬스터 에너지 그린 355ml x 24캔,"49,900원"
50,프라이팬세트,테팔 뉴 이노바시오 인덕션 프라이팬냄비 4종세트 (8/13일만 카트혜택가 68670원+사은품 증정),"109,000원"
51,복사용지,더블에이 A4용지 복사용지 80g 5000매 (사업자클럽 전용),"51,000원"
52,수입산소고기,배터지는 소고기모둠 특수부위 (갈비살2팩 + 우삼겹2팩) 총 800g 특가세트,"21,030원"
53,단행본기타,(다산) 어린이 문학 시리즈/청소년 문학 시리즈/선택구매 (2권이상무배),"12,500원"
54,자켓,(20%쿠폰) 줄리샵 3920원부터~ 빅사이즈/미시룩/롱원피스/밴딩팬츠/박스티/오버핏/반팔,"12,400원"
55,스킨/토너,(+9%쿠폰)토니모리 원더 수분 라인 9900원 특가 외 기초색조 인기템 모음전 UP TO 82%,"24,000원"
56,기타감각발달완구,(15%쿠폰+10%결제할인) 뽀로로 타요 키즈아이콘 인기 사운드북/카드/교구 50종 베이비페어 특가,"12,900원"
57,터틀넥/모크넥,(무료배송+한정수량) 탑텐 본사직영 티셔츠/여름셔츠/팬츠 3900원~,"7,900원"
58,행주,FW신상 거즈행주 뚱냥이 4P 외 BEST 주방 시리즈,"9,900원"
59,물티슈,베베숲 프라임 아기물티슈 고평량 물티슈 프라임 70평량 70매 캡 20팩,"32,030원"
60,탄산/기능성음료,몬스터 에너지 울트라 355ml x 24캔,"49,900원"
61,유아퓨레,누바 푸루라 유기농 생과일 짜먹는 퓨레 20팩+4팩,"50,690원"
62,닭가공식품,사세 쏘스치킨 순살 단짠 갈릭맛 375g 윙봉 300g 총4봉 골라담기 모음,"12,980원"
63,샴푸/린스,미쟝센 로얄젤리 단백질 트리트먼트1000ml 3개,"18,300원"
64,아동베개/커버,신상 메쉬베개 8730원/ 1+1 땅콩형 주니어 메모리폼베개 외 BEST 꿀잠베개 베개 유목민 정착템,"18,800원"
65,어린이/청소년,(특가)하루 하나 꺼내 먹는 따라 쓰기 외 선택 구매,"8,400원"
66,로션/크림,단독 기획 일리윤 수딩젤 2입 스페셜 세트 (175ml+30ml),"22,500원"
67,유아,보물창고/앤서니브라운_기획전 보드북 세트 골라담기,"47,200원"
68,쉬폰/프린트블라우스,(10%+10%쿠폰+카드10%) 베스트 모음 신상/셔츠/슬랙스/청바지/반바지/일자/긴팔/반팔/조끼/니트,"19,620원"
69,드로즈,(15%쿠폰+카드사10%+무료반품) 플레이보이 남자 드로즈 10매세트 외 남녀 언더웨어 모음 PMD2109+2110B,"29,900원"
70,배,(5%+10%)과일꾼 24년 햇 나주배 가정용 5kg 10-12과,"19,900원"
71,기타세탁용품,(G_15%할인) 흰색옷 안심세탁 이염방지시트 200매,"10,000원"
72,국내기저귀,하기스 BEST 썸머 네이처 매직 밤부 맥스 기저귀 모음 + 썸머 구매시 상품권 증정 (생필품데이 특가),"61,300원"
73,생수,스파클생수 500ml 100병 (도착보장/무라벨생수),"21,510원"
