,노래 제목,가수
0,Supernova,aespa
1,클락션 (Klaxon),(여자)아이들
2,Sticky,KISS OF LIFE
3,How Sweet,NewJeans
4,Small girl (feat. 도경수(D.O.)),이영지
5,Supernatural,NewJeans
6,소나기,이클립스 (ECLIPSE)
7,한 페이지가 될 수 있게,DAY6 (데이식스)
8,고민중독,QWER
9,Bubble Gum,NewJeans
10,나는 아픈 건 딱 질색이니까,(여자)아이들
11,Welcome to the Show,DAY6 (데이식스)
12,Armageddon,aespa
13,Magnetic,아일릿(ILLIT)
14,첫 만남은 계획대로 되지 않아,TWS (투어스)
15,해야 (HEYA),IVE (아이브)
16,SPOT! (feat. JENNIE),지코 (ZICO)
17,예뻤어,DAY6 (데이식스)
18,천상연,이창섭
19,사랑은 늘 도망가,임영웅
20,에피소드,이무진
21,온기,임영웅
22,Boom Boom Bass,RIIZE
23,Home,임영웅
24,우리들의 블루스,임영웅
25,미안해 미워해 사랑해,Crush
26,Hype Boy,NewJeans
27,슬픈 초대장,순순희(지환)
28,모래 알갱이,임영웅
29,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
30,다시 만날 수 있을까,임영웅
31,Love wins all,아이유
32,이제 나만 믿어요,임영웅
33,Do or Die,임영웅
34,무지개,임영웅
35,비의 랩소디,임재현
36,London Boy,임영웅
37,I AM,IVE (아이브)
38,Polaroid,임영웅
39,Seven (feat. Latto) - Clean Ver.,정국
40,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
41,To. X,태연 (TAEYEON)
42,인생찬가,임영웅
43,오래된 노래,"허각, 임한별, 이무진, 이진성 (먼데이 키즈), 김희재, #안녕"
44,ETA,NewJeans
45,Attention,NewJeans
46,연애편지,임영웅
47,헤어지자 말해요,박재정
48,Super Shy,NewJeans
49,WAY 4 LUV,PLAVE
50,밤양갱,비비 (BIBI)
51,Ditto,NewJeans
52,청혼하지 않을 이유를 못 찾았어,이무진
53,Drama,aespa
54,SHEESH,BABYMONSTER
55,너의 모든 순간,성시경
56,주저하는 연인들을 위해,잔나비
57,Spicy,aespa
58,Girls Never Die,tripleS (트리플에스)
59,보금자리,임영웅
60,삐그덕 (Walk),NCT 127
61,사랑인가 봐,멜로망스
62,Cosmic,Red Velvet (레드벨벳)
63,Dynamite,방탄소년단
64,LOVE DIVE,IVE (아이브)
65,사건의 지평선,윤하 (YOUNHA)
66,우리 영화,PLAVE
67,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
68,Accendio,IVE (아이브)
69,인사,범진
70,퀸카 (Queencard),(여자)아이들
71,그랬나봐,유회승 (엔플라잉)
72,Get A Guitar,RIIZE
73,네가 내 마음에 자리 잡았다 (Into You),엔플라잉 (N.Flying)
74,Love 119,RIIZE
75,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
76,From,PLAVE
77,OMG,NewJeans
78,사막에서 꽃을 피우듯,우디 (Woody)
79,MANIAC,VIVIZ (비비지)
80,Love Lee,AKMU (악뮤)
81,다정히 내 이름을 부르면,"경서예지, 전건호"
82,Perfect Night,LE SSERAFIM (르세라핌)
83,Watch Me Woo!,PLAVE
84,꿈,태연 (TAEYEON)
85,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
86,I Don't Think That I Like Her,Charlie Puth
87,봄날,방탄소년단
88,Midas Touch,KISS OF LIFE
89,봄눈,10CM
90,취중고백,김민석
91,MAESTRO,세븐틴 (SEVENTEEN)
92,버추얼 아이돌,PLAVE
93,Right Now,NewJeans
94,내가 그댈,하동균
95,Lucky Girl Syndrome,아일릿(ILLIT)
96,Live My Life,aespa
97,Supersonic,프로미스나인
98,Who,지민
99,Impossible,RIIZE
