,작성자ID,리뷰
0,@usun820,0:46 성공해서 진짜 참치먹자고 하니 동시에 끄덕끄덕 ㅋㅋㅋㅋㅋㅋ
1,@user-sl6ti5py7j,"00:47 진짜 참치먹자니까 ㅋ
고개 끄덕이는줄알고 놀랬네ㄷㄷ"
2,@kimhoochoo,"영상 음향이 허전하다 했더니 여집사님 웃음소리가 줄었네요? 내 웃음벨 내놔 ㅎㅎㅎㅎ
고양이 세마리 참치 먹방 잘보았습니다"
3,@user-qt6ri8fn6e,"얼마안되는 영상으로 10만이넘는거면 진짜 ㅋㅋㅋㅋㅋ 말하는거에 재능이있는거에요.. 
너무재밌고 애들두 예쁘구 ㅠㅠ 거기다 이채널이 너무호감인게 이쁜냥이들 사는게아니라 
스트릿냥이들이라는거..."
4,@srk6808,00:47 진짜 참치 먹자니까 고개 끄덕끄덕 하는거나 다른쇼츠 보면 때밀이영상 이라든지 왠지  커뮤니케이션이 되는 것 같아서 신기함ㅋㅋㅋ
5,@팡팡플러스,"무관심하지만 영상에 큰~~도움주는 송박춘봉,송김첨지ㅋㅋㅋ그게 매력이다~ 냥냥이들"
6,@user-tx5un9uo1n,"아빠가 뭘하든 말든
먹기 바쁜  냥이들 ㅋㅋㅋㅋㅋㅋㅋㅋ "
7,@user-yq4kh1py9k,내가 왜 구독 눌렀는지 모르겠는데 본거 또 보고 또 봐도 재밌네ㅋㅋㅋ 미치겠네ㅋㅋ
8,@user-xj4sk8jz4t,정신병동 환자복 너무 좋아요~
9,@user-nm2go2gu6e,냥이들 넘나 순둥순둥 귀여워요
10,@user-iz6fq7hx2m,얘들아ᆢ 아빠한테 신경좀 써주자ᆢ저렇게 혼잣말 하다 진짜 병원 끌려가시것다ᆢ
11,@_happy2hearts,다음엔 춘봉&첨지랑 청정바다에서 갓 잡아올린 참치 뱃살 꼭 드시길 기원하며... 쪼까 보탭니다잉
12,@user-cu8cz5wi3u,냥이들 넘 순하고 귀엽네요. 사랑둥이들
13,@user-zc3ty4wb4t,"울냥이들 더 쩝쩝거리면서 먹음좋겠어요
너무 소리안내고 먹잖아요 
참치캔 신드롬일으키자구여~~
울냥이들 참치캔 광고 들어오게로... 안정된 공무원은 못되도  대기업  취직시켜야죠ㅋㅋ"
14,@user-dw7qr1ws6x,1:56 이제집사까지 귀여워보이노..스며들었나 ㄷㄷㅋㅋㅋㅋ ㅋ
15,@user-zz7hz2hr4c,보기도전에 기대됩니다 ㅎㅎ ㅎㅎ
16,@user-ro2xj9cu1d,"ㅋㅋㅋㅋ 냥이들 넘귀요미들~~
집사님 넘 웃겨서 좋아용~~
오늘은 왜 여집사님 웃음소리가 없나요~??
그웃는소리에 더 욱겨서 같은 웃는딩~"
