,메뉴,가격
0,연잎 오리구이,"7,700"
1,열무 감초고추장 비빔밥,"4,900"
2,열무 두부강된장 비빔밥,"5,200"
3,열무 비빔면,"3,900"
4,마라치킨 덮밥,"4,900"
5,마라치킨 볶음면,"4,900"
6,믹스후라이,"6,000"
7,김피탕,"5,500"
8,빅김피탕,"7,900"
9,이남장 설렁탕,"7,900"
10,사골 조랭이떡 만둣국,"5,900"
11,[8월 할인메뉴] 치킹 반반순살(후라이드),"14,900"
12,"[8월 할인메뉴] 치킹 반반순살(후라이드,양념)","14,900"
13,[8월 할인메뉴] 숯불직화구이 덮밥,"4,900"
14,[8월 할인메뉴] 진달래,"6,900"
15,[8월 할인메뉴] 소불고기 감초고추장 비빔밥,"4,700"
16,[8월 할인메뉴] 시골제육 두부강된장 비빔밥,"4,500"
17,[8월 할인메뉴] 해바라기,"8,500"
18,[8월 할인메뉴] 스페셜 하이라이스,"4,900"
19,[8월 할인메뉴] 동백,"5,200"
20,[8월 할인메뉴] 돈까스도련님 고기고기,"5,600"
21,[8월 할인메뉴] 스팸 김치볶음밥,"3,900"
22,[8월 할인메뉴] 새치 고기고기,"5,900"
23,[8월 할인메뉴] 반찬 김치 부대찌개,"3,900"
24,[8월 할인메뉴] 치킨 2조각,"1,300"
25,[8월 할인메뉴] 토네이도 소세지,"1,200"
26,[8월 할인메뉴] 스팸,800
27,[8월 할인메뉴] 멘치카츠,800
28,해바라기,"10,000"
29,매화,"10,500"
30,진달래,"8,000"
31,개나리,"8,700"
32,돈까스도련님 고기고기,"6,600"
33,새치 고기고기,"7,100"
34,돈치 고기고기,"6,100"
35,송정식 떡갈비 Ⅱ,"6,900"
36,제육돈까스 도련님,"4,900"
37,숯불직화구이,"6,800"
38,소불고기,"5,700"
39,메가치킨제육,"7,800"
40,칠리 찹쌀탕수육도련님,"4,500"
41,동백,"6,200"
42,치킨제육,"5,000"
43,돈까스도련님,"4,900"
44,제육볶음,"4,700"
45,돈치스팸,"5,000"
46,송정식 떡갈비,"6,900"
47,제육 김치찌개 정식,"8,800"
48,빅치킨마요 김치 부대찌개 정식,"8,200"
49,치킨마요 김치 부대찌개 정식,"7,600"
50,빅치킨마요 김치찌개 정식,"7,700"
51,치킨마요 김치찌개 정식,"7,100"
52,메가스팸마요,"5,900"
53,스팸마요,"4,000"
54,메가치킨마요,"6,200"
55,왕치킨마요,"5,100"
56,빅치킨마요,"4,400"
57,치킨마요,"3,800"
58,참치마요,"3,600"
59,돈치마요,"4,100"
60,돈까스 카레,"4,800"
61,스팸 김치볶음밥,"4,900"
62,김치볶음밥,"4,100"
63,스팸 철판볶음밥,"4,900"
64,소불고기 철판볶음밥,"5,100"
65,묵은지 김치찌개,"5,000"
66,김치 부대찌개,"6,100"
67,스페셜 하이라이스,"5,900"
68,핫 치즈 닭갈비덮밥,"6,100"
69,오리지널 치즈 닭갈비덮밥,"6,100"
70,숯불직화구이 덮밥,"6,000"
71,마파두부 덮밥,"5,000"
72,왕카레돈까스덮밥,"6,100"
73,새우돈까스 덮밥,"4,400"
74,돈까스 덮밥,"4,300"
75,아보카도 소불고기 명란 비빔밥,"6,700"
76,소불고기 감초고추장 비빔밥,"5,700"
77,시골제육 두부강된장 비빔밥,"5,500"
78,참치야채 감초고추장 비빔밥,"3,800"
79,튼튼도시락,"5,300"
80,반찬 묵은지김치찌개,"4,400"
81,반찬 카레,"2,900"
82,반찬 순살 고등어 간장구이,"3,900"
83,반찬 김치 부대찌개,"4,900"
84,반찬 치킨,"3,800"
85,반찬 고기고기,"3,600"
86,반찬 돈까스도련님,"4,100"
87,반찬 제육볶음,"3,500"
88,반찬 토네이도 소세지,"3,200"
89,반찬 돈까스,"2,900"
90,치즈버터 해시 포테이토 스틱,"2,200"
91,허니버터 해시 포테이토 스틱,"2,200"
92,해시 포테이토 스틱,"2,000"
93,뉴 감자고로케,"2,700"
94,미니 찹쌀핫도그,"2,800"
95,미니 찹쌀탕수육,"2,300"
96,케이준후라이,"1,900"
97,멘치카츠,"2,800"
98,통현미 닭강정(소),"3,500"
99,통현미 닭강정(중),"8,500"
100,후라이드 순살(중),"7,500"
101,후라이드 순살(소)_양념치킨소스,"4,000"
102,후라이드 순살(소)_케이준소스,"4,000"
103,3종 미니반찬B,"1,300"
104,3종 미니반찬A,"1,300"
105,오징어젓갈,600
106,한솥 두부강된장소스,"1,800"
107,한솥 감초볶음고추장소스,500
108,볶음김치,500
109,김치,400
110,무말랭이 무침,500
111,한솥밥,"1,000"
112,현미밥,"1,700"
113,리얼꿀 미니호떡,"2,200"
